City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,8.61,93,7,1.11,NZ,1682620235
1,port elizabeth,-33.918,25.5701,20.16,81,40,7.72,ZA,1682619657
2,edinburgh of the seven seas,-37.0676,-12.3116,17.38,79,98,8.6,SH,1682620235
3,dryden,49.7833,-92.7503,3.16,93,100,2.57,CA,1682620236
4,vorgashor,67.5833,63.95,-8.05,90,17,6.4,RU,1682620236
5,nuuk,64.1835,-51.7216,2.34,87,20,7.72,GL,1682620054
6,ushuaia,-54.8,-68.3,7.79,61,40,10.29,AR,1682620236
7,college,64.8569,-147.8028,3.97,61,75,0.0,US,1682620237
8,bam,29.106,58.357,21.39,40,100,3.0,IR,1682620237
9,port alfred,-33.5906,26.891,18.43,85,76,1.79,ZA,1682620237
10,badger,64.8,-147.5333,3.93,59,75,0.0,US,1682620237
11,puerto ayora,-0.7393,-90.3518,29.98,86,12,4.92,EC,1682620238
12,adamstown,-25.066,-130.1015,23.81,66,100,2.97,PN,1682620238
13,bac lieu,9.285,105.7244,28.54,77,38,5.03,VN,1682620238
14,constantia,44.1833,28.65,9.38,66,99,9.14,RO,1682620239
15,pieksamaki,62.3,27.1333,0.94,99,100,2.21,FI,1682620239
16,bulgan,48.8125,103.5347,-2.8,54,0,1.09,MN,1682620239
17,lihue,21.9789,-159.3672,24.64,77,40,3.09,US,1682620239
18,turuvekere,13.1642,76.6667,26.12,60,18,1.17,IN,1682620240
19,nova sintra,14.8667,-24.7167,20.03,77,20,7.45,CV,1682620240
20,kodiak,57.79,-152.4072,5.73,70,40,2.57,US,1682620240
21,vila franca do campo,37.7167,-25.4333,19.23,82,99,5.41,PT,1682620241
22,waitangi,-43.9535,-176.5597,10.46,76,97,0.89,NZ,1682620241
23,presque isle,46.6811,-68.0159,15.1,39,100,4.12,US,1682620037
24,hawaiian paradise park,19.5933,-154.9731,24.46,87,0,3.09,US,1682620242
25,tazovsky,67.4667,78.7,-6.43,92,100,2.97,RU,1682620242
26,tiksi,71.6872,128.8694,-13.29,90,8,1.91,RU,1682620242
27,mantua,45.1667,10.7833,19.58,61,33,2.24,IT,1682620242
28,haiku-pauwela,20.9219,-156.3051,23.43,79,40,2.06,US,1682620243
29,port-aux-francais,-49.35,70.2167,6.13,72,87,11.85,TF,1682620243
30,bethel,41.3712,-73.414,12.24,81,100,1.54,US,1682620243
31,atafu village,-8.5421,-172.5159,28.81,71,100,6.47,TK,1682620244
32,visby,57.6409,18.296,4.9,87,0,6.17,SE,1682620244
33,olonkinbyen,70.9221,-8.7187,-1.41,95,100,10.36,SJ,1682620244
34,praia da vitoria,38.7333,-27.0667,21.14,64,40,9.61,PT,1682620163
35,queenstown,-31.8976,26.8753,14.33,75,2,2.54,ZA,1682619812
36,albany,42.6001,-73.9662,15.32,55,47,1.79,US,1682620202
37,princeville,45.7668,-61.2985,9.78,70,100,4.12,CA,1682620245
38,grytviken,-54.2811,-36.5092,2.85,89,41,3.94,GS,1682620245
39,yellowknife,62.456,-114.3525,3.29,87,75,5.66,CA,1682619873
40,cabo san lucas,22.8909,-109.9124,28.67,65,0,2.06,MX,1682620084
41,joshimath,30.5667,79.5667,8.93,73,21,3.4,IN,1682620246
42,quesnel,52.9999,-122.5029,10.28,34,0,3.09,CA,1682620231
43,malvan,16.0667,73.4667,28.25,69,0,3.38,IN,1682620246
44,amga,60.8953,131.9608,-3.5,100,100,0.73,RU,1682620247
45,bayganin,48.6947,55.8742,18.49,42,100,3.18,KZ,1682620247
46,bilibino,68.0546,166.4372,-13.7,84,11,1.46,RU,1682620247
47,puerto natales,-51.7236,-72.4875,8.25,76,75,7.2,CL,1682619538
48,iqaluit,63.7506,-68.5145,0.85,86,75,7.2,CA,1682620177
49,blackmans bay,-43.0167,147.3167,12.07,85,2,3.53,AU,1682620248
50,teknaf,20.8624,92.3058,25.77,81,10,1.27,BD,1682620248
51,san patricio,28.017,-97.5169,26.04,68,80,3.84,US,1682620249
52,santa ana,33.7456,-117.8678,29.12,68,20,3.6,US,1682619627
53,val-d'or,48.1002,-77.7828,7.05,53,100,4.12,CA,1682620160
54,sylvan lake,52.3168,-114.0853,10.76,37,0,7.2,CA,1682620249
55,cidreira,-30.1811,-50.2056,22.16,64,6,4.95,BR,1682620250
56,nemuro,43.3236,145.575,5.05,68,7,7.93,JP,1682620250
57,sitka,57.0531,-135.33,4.94,81,100,3.6,US,1682620250
58,chibougamau,49.9168,-74.3659,6.79,57,75,2.57,CA,1682620251
59,invercargill,-46.4,168.35,7.66,96,72,2.06,NZ,1682620251
60,diosig,47.3,22.0,10.01,69,100,1.83,RO,1682620251
61,kani keli,-12.9536,45.1033,27.59,76,5,2.74,YT,1682620252
62,port mathurin,-19.6833,63.4167,26.25,81,100,6.56,MU,1682620252
63,jamestown,42.097,-79.2353,16.96,36,0,2.06,US,1682620252
64,arraial do cabo,-22.9661,-42.0278,26.98,74,0,5.66,BR,1682620253
65,ancud,-41.8697,-73.8203,10.58,97,100,2.46,CL,1682620253
66,ribeira grande,38.5167,-28.7,18.22,82,20,8.49,PT,1682620253
67,broome,42.2506,-75.833,15.56,54,20,2.24,US,1682620253
